sac,3213585,3213605,772.9,321.9,715.8,335.5,123.0,58.69727421269239,Banco Estado 2.jpg,None,None
fix,3213605,3213803,711.8,342.2,Banco Estado 2.jpg,None
sac,3213803,3213829,711.8,344.5,815.0,330.3,186.0,104.17235717790017,Banco Estado 2.jpg,None,None
fix,3213829,3213987,812.4,333.4,Banco Estado 2.jpg,None
sac,3213987,3213999,814.0,334.9,840.7,336.7,73.0,26.760605374318466,Banco Estado 2.jpg,None,None
fix,3213999,3214091,840.1,341.3,Banco Estado 2.jpg,None
sac,3214091,3214139,841.0,341.9,515.6,331.8,284.0,325.5567078098683,Banco Estado 2.jpg,None,None
fix,3214139,3214293,521.2,330.4,Banco Estado 2.jpg,None
sac,3214293,3214313,520.4,331.0,476.8,348.7,97.0,47.05581791872283,Banco Estado 2.jpg,None,None
fix,3214313,3214701,481.5,349.5,Banco Estado 2.jpg,None
sac,3215637,3215673,486.9,357.2,670.1,305.2,278.0,190.43697120044737,Banco Estado 3.jpg,None,None
fix,3215673,3215841,659.0,314.6,Banco Estado 3.jpg,None
sac,3215841,3215891,659.1,319.8,299.6,306.8,288.0,359.7349718890283,Banco Estado 3.jpg,None,None
fix,3215891,3216053,301.1,305.5,Banco Estado 3.jpg,None
sac,3216053,3216065,299.3,306.7,276.8,315.4,70.0,24.123432591569546,Banco Estado 3.jpg,None,None
fix,3216065,3216187,273.6,320.1,Banco Estado 3.jpg,None
sac,3216187,3216209,273.3,322.6,352.0,311.3,148.0,79.5071066006052,Banco Estado 3.jpg,None,None
fix,3216209,3216359,358.9,313.2,Banco Estado 3.jpg,None
sac,3216359,3216403,359.0,312.9,665.9,305.5,344.0,306.989201764492,Banco Estado 3.jpg,None,None
fix,3216403,3216599,653.4,307.7,Banco Estado 3.jpg,None
sac,3216599,3216653,652.7,308.2,940.4,314.1,213.0,287.7604906862649,Banco Estado 3.jpg,None,None
fix,3216653,3216817,936.3,316.2,Banco Estado 3.jpg,None
sac,3216817,3216839,937.4,318.1,1003.5,311.0,105.0,66.48022262297265,Banco Estado 3.jpg,None,None
fix,3216839,3217091,1018.8,315.1,Banco Estado 3.jpg,None
sac,3217091,3217139,1019.3,315.5,734.5,525.7,356.0,353.97045074412637,Banco Estado 3.jpg,None,None
fix,3217139,3217263,733.7,528.2,Banco Estado 3.jpg,None
sac,3217263,3217315,732.1,528.0,667.1,160.5,382.0,373.2040326684587,Banco Estado 3.jpg,None,None
fix,3217315,3217431,656.6,167.2,Banco Estado 3.jpg,None
sac,3217431,3217459,655.9,170.2,623.1,66.4,307.0,108.85899136038324,Banco Estado 3.jpg,None,None
fix,3217459,3217607,614.8,73.7,Banco Estado 3.jpg,None
